# x, y, y_err
0.0000e+00,  1.9233e+03,  4.3856e+01
1.0000e+00,  1.8422e+03,  4.2921e+01
2.0000e+00,  1.8259e+03,  4.2730e+01
3.0000e+00,  1.7188e+03,  4.1458e+01
4.0000e+00,  1.6465e+03,  4.0577e+01
5.0000e+00,  1.6399e+03,  4.0495e+01
6.0000e+00,  1.6375e+03,  4.0465e+01
7.0000e+00,  1.6563e+03,  4.0697e+01
8.0000e+00,  1.5695e+03,  3.9617e+01
9.0000e+00,  1.5216e+03,  3.9007e+01
1.0000e+01,  1.5173e+03,  3.8952e+01
1.1000e+01,  1.4739e+03,  3.8391e+01
1.2000e+01,  1.5083e+03,  3.8836e+01
1.3000e+01,  1.4495e+03,  3.8072e+01
1.4000e+01,  1.3405e+03,  3.6613e+01
1.5000e+01,  1.3547e+03,  3.6807e+01
1.6000e+01,  1.3391e+03,  3.6594e+01
1.7000e+01,  1.2682e+03,  3.5612e+01
1.8000e+01,  1.2717e+03,  3.5661e+01
1.9000e+01,  1.2234e+03,  3.4977e+01
2.0000e+01,  1.1419e+03,  3.3793e+01
2.1000e+01,  1.1782e+03,  3.4324e+01
2.2000e+01,  1.2005e+03,  3.4648e+01
2.3000e+01,  1.1975e+03,  3.4605e+01
2.4000e+01,  1.2048e+03,  3.4710e+01
2.5000e+01,  1.1740e+03,  3.4263e+01
2.6000e+01,  1.1039e+03,  3.3224e+01
2.7000e+01,  1.0440e+03,  3.2311e+01
2.8000e+01,  1.0415e+03,  3.2273e+01
2.9000e+01,  9.8998e+02,  3.1464e+01
3.0000e+01,  9.1960e+02,  3.0325e+01
3.1000e+01,  9.6956e+02,  3.1138e+01
3.2000e+01,  8.5562e+02,  2.9251e+01
3.3000e+01,  9.0827e+02,  3.0138e+01
3.4000e+01,  8.6864e+02,  2.9473e+01
3.5000e+01,  8.7618e+02,  2.9600e+01
3.6000e+01,  8.7225e+02,  2.9534e+01
3.7000e+01,  8.0071e+02,  2.8297e+01
3.8000e+01,  8.3125e+02,  2.8831e+01
3.9000e+01,  7.5759e+02,  2.7524e+01
4.0000e+01,  8.0979e+02,  2.8457e+01
4.1000e+01,  7.1289e+02,  2.6700e+01
4.2000e+01,  7.5311e+02,  2.7443e+01
4.3000e+01,  7.5454e+02,  2.7469e+01
4.4000e+01,  7.7395e+02,  2.7820e+01
4.5000e+01,  7.2947e+02,  2.7009e+01
4.6000e+01,  7.3059e+02,  2.7030e+01
4.7000e+01,  6.8563e+02,  2.6184e+01
4.8000e+01,  6.9360e+02,  2.6336e+01
4.9000e+01,  6.4003e+02,  2.5299e+01
5.0000e+01,  5.8870e+02,  2.4263e+01
5.1000e+01,  6.2765e+02,  2.5053e+01
5.2000e+01,  6.0414e+02,  2.4579e+01
5.3000e+01,  5.7338e+02,  2.3945e+01
5.4000e+01,  5.7910e+02,  2.4065e+01
5.5000e+01,  5.3429e+02,  2.3115e+01
5.6000e+01,  5.1672e+02,  2.2731e+01
5.7000e+01,  5.4895e+02,  2.3430e+01
5.8000e+01,  5.4861e+02,  2.3422e+01
5.9000e+01,  4.9208e+02,  2.2183e+01
6.0000e+01,  4.8624e+02,  2.2051e+01
